smiles,molecular_weight,#ro5_violations,alogp,standard_value,mol,MACCS_fp,morgan_fp
COc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,397.38,0.0,3.37,37600.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C0120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95844A0>
CC(O)CN1c2ccccc2Sc2ccccc21,257.36,0.0,3.67,5000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C0190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584510>
COc1ccc([C@H]2O[C@@H](CO)C[C@]2(O)c2ccc(OC)cc2)cc1,330.38,0.0,2.41,1000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C0200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584580>
O=C(O)[C@H]1C[C@](O)(c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)O1,353.2,0.0,3.8,3800.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C0270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95845F0>
CC1(C)OC(=O)C(Oc2ccc(C3CC3)cn2)=C1c1ccc(S(C)(=O)=O)cc1,399.47,0.0,3.49,30.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C02E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC2E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584660>
Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)cc2)o1,320.41,0.0,3.35,70.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C0350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95846D0>
C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)C[C@H]4C4=CC[C@@H]6[C@@]7(C)CC[C@H](O[C@@H]8OC[C@H](O)[C@H](O)[C@H]8O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O[C@@H]9OC[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O[C@@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11O)[C@H](O)[C@H]%10O)[C@@H](O)[C@H]9O)[C@H]8O)[C@@](C)(CO)[C@@H]7CC[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O,1677.79,4.767161376504758,12.346943406469986,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C03C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC3C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584740>
CS(=O)(=O)c1ccc(-c2ccc(N)cc2-c2ccccc2)cc1,323.42,0.0,4.01,254000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C0430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9581820>
CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)cc2)cc1,378.81,0.0,4.17,1478427.39,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C04A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC4A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95847B0>
Cc1cc(=O)c(Oc2ccc(OC(F)(F)F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,440.39,0.0,4.71,1440.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C0510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584820>
